date,close,adjusted,volume
2016-04-08,49.51,41.669108,1685544.0
2016-04-11,49.63,41.770103,2208201.0
2016-04-12,49.05,41.281958,1093183.0
2016-04-13,50.03,42.106755,1807736.0
2016-04-14,49.62,41.761687,1021447.9999999999
2016-04-15,50.03,42.106755,1227200.0
2016-04-18,50.75,42.712729,2025983.0
2016-04-19,50.8,42.75481,1483142.0
2016-04-20,51.53,43.3692,1972543.0
2016-04-21,50.74,42.704313,1681163.0
2016-04-22,51.98,43.747934,2798211.0
2016-04-25,51.63,43.453363,1524557.0
2016-04-26,51.94,43.714269,1486961.0
2016-04-27,52.68,44.337075,2748612.0
2016-04-28,48.35,40.692817,6221087.0
2016-04-29,47.36,39.859603,7007933.0
2016-05-02,48.65,40.945306,2953737.0
2016-05-03,47.08,39.623946,2195602.0
2016-05-04,46.52,39.152633,1256186.0
2016-05-05,46.58,39.203131,1684940.0
2016-05-06,46.61,39.22838,1533842.0
2016-05-09,47.25,39.767023,1254594.0
2016-05-10,47.32,39.825938,1297382.0
2016-05-11,46.64,39.253629,1049452.0
2016-05-12,47.8,40.22992,1826512.0
2016-05-13,47.74,40.179422,1815950.0
2016-05-16,47.95,40.356165,1347687.0
2016-05-17,46.88,39.45562,1767848.0
2016-05-18,46.86,39.438788,1839047.0
2016-05-19,46.69,39.295711,2507478.0
2016-05-20,46.87,39.447204,1825961.0
2016-05-23,46.23,38.908561,2620353.0
2016-05-24,46.77,39.363041,1866545.0
2016-05-25,46.93,39.497702,1495032.0
2016-05-26,46.54,39.169466,1701338.0
2016-05-27,46.86,39.438788,1103430.0
2016-05-31,46.44,39.085303,1979691.0
2016-06-01,46.45,39.228875,1252956.0
2016-06-02,46.72,39.456901,1335483.0
2016-06-03,46.46,39.23732,1175252.0
2016-06-06,45.8,38.679924,2725430.0
2016-06-07,45.98,38.831941,2119123.0
2016-06-08,46.17,38.992404,2839167.0
2016-06-09,47.19,39.853834,2794292.0
2016-06-10,48.16,40.673038,4419886.0
2016-06-13,47.3,39.946734,2219479.0
2016-06-14,47.05,39.735599,2210652.0
2016-06-15,47.0,39.693372,1586301.0
2016-06-16,47.32,39.963625,1463646.0
2016-06-17,46.84,39.558245,2302870.0
2016-06-20,47.08,39.760935,2150983.0
2016-06-21,47.1,39.777826,1243411.0
2016-06-22,47.37,40.005851,1100484.0
2016-06-23,47.85,40.411231,856729.0
2016-06-24,45.56,38.477234,1852837.0
2016-06-27,43.55,36.779709,1980972.0
2016-06-28,44.01,37.168198,2171248.0
2016-06-29,45.13,38.114082,2348777.0
2016-06-30,45.97,38.823496,2069039.0
2016-07-01,46.13,38.958622,1399852.0
2016-07-05,45.11,38.097191,1668598.0
2016-07-06,45.81,38.688369,1380363.0
2016-07-07,45.69,38.587025,1612117.0
2016-07-08,47.03,39.718708,1803860.0
2016-07-11,47.46,40.08186,1208099.0
2016-07-12,47.79,40.360558,1197898.0
2016-07-13,48.37,40.850391,1283556.0
2016-07-14,48.33,40.81661,1027203.0000000001
2016-07-15,49.08,41.450015,1588888.0
2016-07-18,49.1,41.466905,890004.0
2016-07-19,48.96,41.34867,1272685.0
2016-07-20,49.41,41.728713,1364030.0
2016-07-21,48.7,41.129089,1040256.0000000001
2016-07-22,48.69,41.120644,1174085.0
2016-07-25,48.55,41.002408,1156344.0
2016-07-26,49.32,41.652704,1296575.0
2016-07-27,49.12,41.483796,1492827.0
2016-07-28,47.32,39.963625,3067233.0
2016-07-29,47.18,39.845389,3663143.0
2016-08-01,47.14,39.811607,1705265.0
2016-08-02,45.99,38.840387,1951305.0
2016-08-03,46.23,39.043076,2202935.0
2016-08-04,46.61,39.364001,1553592.0
2016-08-05,46.76,39.490682,1646413.0
2016-08-08,46.33,39.12753,1636515.0
2016-08-09,46.74,39.473791,4045460.0000000005
2016-08-10,46.91,39.617363,1378702.0
2016-08-11,47.15,39.820053,1808741.0
2016-08-12,46.91,39.617363,1393191.0
2016-08-15,47.1,39.777826,1154300.0
2016-08-16,46.92,39.625809,1406557.0
2016-08-17,46.53,39.296438,1483001.0
2016-08-18,46.34,39.135975,997070.0
2016-08-19,46.38,39.169757,1233444.0
2016-08-22,46.88,39.592027,1552473.0
2016-08-23,47.65,40.242323,1837756.0
2016-08-24,47.53,40.140978,1244599.0
2016-08-25,47.68,40.267659,1467817.0
2016-08-26,46.85,39.566691,1810985.0
2016-08-29,47.1,39.777826,1111756.0
2016-08-30,47.1,39.777826,1488431.0
2016-08-31,47.13,39.938835,2116154.0
2016-09-01,47.5,40.25238,1571723.0
2016-09-02,48.6,41.18454,2136812.0
2016-09-06,47.45,40.210009,1831791.0
2016-09-07,47.5,40.25238,1501033.0
2016-09-08,47.06,39.879516,820667.0
2016-09-09,45.44,38.506698,1807658.0
2016-09-12,45.83,38.837191,2284165.0
2016-09-13,45.39,38.464327,1613206.0
2016-09-14,45.39,38.464327,1624808.0
2016-09-15,46.26,39.201581,1443547.0
2016-09-16,45.85,38.85414,1554089.0
2016-09-19,46.23,39.176159,1008278.0
2016-09-20,46.28,39.21853,717799.0
2016-09-21,46.16,39.116839,1484727.0
2016-09-22,46.26,39.201581,1243517.0
2016-09-23,46.58,39.472755,1919278.0
2016-09-26,46.67,39.549023,1398370.0
2016-09-27,46.27,39.210055,1287529.0
2016-09-28,46.52,39.42191,1222285.0
2016-09-29,45.72,38.743975,1377921.0
2016-09-30,45.82,38.828717,1600844.0
2016-10-03,45.43,38.498224,861666.0
2016-10-04,44.9,38.049092,1219464.0
2016-10-05,45.25,38.345688,1302949.0
2016-10-06,45.22,38.320266,1045480.0
2016-10-07,44.35,37.583012,2199813.0
2016-10-10,44.8,37.96435,1478485.0
2016-10-11,44.59,37.786392,2514626.0
2016-10-12,44.52,37.727073,668461.0
2016-10-13,44.31,37.549115,1037230.0000000001
2016-10-14,44.62,37.811815,582125.0
2016-10-17,44.72,37.896557,614400.0
2016-10-18,44.21,37.464373,3877644.0
2016-10-19,44.23,37.481322,4192761.0
2016-10-20,43.59,36.938974,1475363.0
